sentences,choice_a,choice_b,instruct_1,instructloop.thisRepN,instructloop.thisTrialN,instructloop.thisN,instructloop.thisIndex,practice_instructloop.thisRepN,practice_instructloop.thisTrialN,practice_instructloop.thisN,practice_instructloop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,present_reinforcement1.thisRepN,present_reinforcement1.thisTrialN,present_reinforcement1.thisN,present_reinforcement1.thisIndex,practice_VAT_trials.thisRepN,practice_VAT_trials.thisTrialN,practice_VAT_trials.thisN,practice_VAT_trials.thisIndex,r1_instruct.thisRepN,r1_instruct.thisTrialN,r1_instruct.thisN,r1_instruct.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,explain.started,explain.stopped,participant code,instructions_text.started,instructions_text.stopped,intruct_resp.keys,intruct_resp.rt,intruct_resp.started,intruct_resp.stopped,text_2.started,text_2.stopped,practiceinstruct.started,practiceinstruct.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,return_2.started,return_2.stopped,input_text.started,input_text.stopped,end.keys,end.rt,end.started,end.stopped,hcountprac.started,hcountprac.stopped,practice round input,displayhcount.started,displayhcount.stopped,text_border.started,text_border.stopped,text_14.started,text_14.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_3.started,text_3.stopped,sentence_3.started,sentence_3.stopped,choice1_3.started,choice1_3.stopped,choice2_3.started,choice2_3.stopped,endchoice_3.keys,endchoice_3.rt,endchoice_3.started,endchoice_3.stopped,VATkeys.started,VATkeys.stopped,textinstruct.started,textinstruct.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,return_3.started,return_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.707705887994962,None,return,16.190504266996868,None,return,0.1458914530085167,16.190504266996868,None,16.190504266996868,None,16.722767996994662,None,return,0.23453437599528115,16.722767996994662,None,16.722767996994662,None,17.81811855599517,None,return,0.12697606500296388,17.81811855599517,None,17.81811855599517,None,,17.81811855599517,None,17.81811855599517,None,17.96741581200331,None,return,0.16910779899626505,17.96741581200331,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_05_1230,VERSION5,2020.2.10,60.0010575825727,
Catch ____ tree back,screen,drink,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.171091167998384,None,18.69079663300363,None,18.69079663300363,None,18.69079663300363,None,left,0.7172940840100637,18.69079663300363,None,18.69079663300363,None,,,,,,,,,,001,2021_Apr_05_1230,VERSION5,2020.2.10,60.0010575825727,
_____ school come pole,kick,water,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.439788481991854,None,19.95428315299796,None,19.95428315299796,None,19.95428315299796,None,left,0.03498333800234832,19.95428315299796,None,19.95428315299796,None,,,,,,,,,,001,2021_Apr_05_1230,VERSION5,2020.2.10,60.0010575825727,
Stars blow meet ____,castle,field,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.017596652003704,None,20.521944473002804,None,20.521944473002804,None,20.521944473002804,None,left,0.060271622001891956,20.521944473002804,None,20.521944473002804,None,,,,,,,,,,001,2021_Apr_05_1230,VERSION5,2020.2.10,60.0010575825727,
Birds run ____ fault,green,disgusting,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.601198051997926,None,21.105787092994433,None,21.105787092994433,None,21.105787092994433,None,left,0.05627988200285472,21.105787092994433,None,21.105787092994433,None,,,,,,,,,,001,2021_Apr_05_1230,VERSION5,2020.2.10,60.0010575825727,
,,,"Now that you have completed the practice task, you are ready to begin official communication with the Qiczox and Kivix commanders as the United States Interstellar Messenger and Decoder. You will need to communicate with the commanders by typing on your keyboard. Your messages need to be rapid, complete, and engaging. ",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.202592134999577,None,return,0.49844951200066134,21.202592134999577,None,21.202592134999577,None,,001,2021_Apr_05_1230,VERSION5,2020.2.10,60.0010575825727,
,,,"They should only include letter and punctuation keys, with no special characters, number keys, or function keys. Once you decide that your message is complete, hit the return key to send it and then begin a new message. Remember that these are alien species, so they do not think in the same way you do. When you are ready to begin alien communication, press the return key. ",,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.733830901997862,None,return,0.32123865600442514,21.733830901997862,None,21.733830901997862,None,,001,2021_Apr_05_1230,VERSION5,2020.2.10,60.0010575825727,
